season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries
2019,1178411,Rajasthan Royals v Mumbai Indians,RR v MI,"36th Match (D/N), Indian Premier League at Jaipur, Apr 20 2019",RR,MI,RR,BOWL FIRST,161/5,162/5,162/5,161/5,RR,Royals won by 5 wickets,2019-04-20T10:30Z,2019-04-22T23:59Z,58162,"Sawai Mansingh Stadium, Jaipur",Steven Smith,Rohit Sharma,Steven Smith,"Rajasthan Royals 2, Mumbai Indians 0",FALSE,19.1,162,5,22,20,161,5,17
2019,1178412,Delhi Capitals v Kings XI Punjab,DC v PBKS,"37th Match (N), Indian Premier League at Delhi, Apr 20 2019",DC,PBKS,DC,BOWL FIRST,163/7,166/5,166/5,163/7,DC,Capitals won by 5 wickets,2019-04-20T14:30Z,2019-04-22T23:59Z,58040,"Arun Jaitley Stadium, Delhi",Shreyas Iyer,Ravichandran Ashwin,Shreyas Iyer,"Delhi Capitals 2, Kings XI Punjab 0",FALSE,19.4,166,5,21,20,163,7,21
2019,1178413,Sunrisers Hyderabad v Kolkata Knight Riders,SRH v KKR,"38th Match (D/N), Indian Premier League at Hyderabad (Deccan), Apr 21 2019",SRH,KKR,SRH,BOWL FIRST,159/8,161/1,161/1,159/8,SRH,Sunrisers won by 9 wickets,2019-04-21T10:30Z,2019-04-23T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kane Williamson,Dinesh Karthik,Khaleel Ahmed,"Sunrisers Hyderabad 2, Kolkata Knight Riders 0",FALSE,15,161,1,19,20,159,8,19
2019,1178414,Royal Challengers Bangalore v Chennai Super Kings,RCB v CSK,"39th Match (N), Indian Premier League at Bengaluru, Apr 21 2019",RCB,CSK,CSK,BOWL FIRST,161/7,160/8,161/7,160/8,RCB,RCB won by 1 run,2019-04-21T14:30Z,2019-04-23T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Virat Kohli,MS Dhoni,Parthiv Patel,"Royal Challengers Bangalore 2, Chennai Super Kings 0",FALSE,20,161,7,20,20,160,8,18
2019,1178415,Rajasthan Royals v Delhi Capitals,RR v DC,"40th Match (N), Indian Premier League at Jaipur, Apr 22 2019",RR,DC,DC,BOWL FIRST,191/6,193/4,191/6,193/4,DC,Capitals won by 6 wickets,2019-04-22T14:30Z,2019-04-24T23:59Z,58162,"Sawai Mansingh Stadium, Jaipur",Steven Smith,Shreyas Iyer,Rishabh Pant,"Delhi Capitals 2, Rajasthan Royals 0",FALSE,20,191,6,26,19.2,193,4,27
2019,1178416,Chennai Super Kings v Sunrisers Hyderabad,CSK v SRH,"41st Match (N), Indian Premier League at Chennai, Apr 23 2019",CSK,SRH,CSK,BOWL FIRST,175/3,176/4,176/4,175/3,CSK,Super Kings won by 6 wickets,2019-04-23T14:30Z,2019-04-25T23:59Z,58008,"MA Chidambaram Stadium, Chepauk, Chennai",MS Dhoni,Bhuvneshwar Kumar,Shane Watson,"Chennai Super Kings 2, Sunrisers Hyderabad 0",FALSE,19.5,176,4,24,20,175,3,18
2019,1178417,Royal Challengers Bangalore v Kings XI Punjab,RCB v PBKS,"42nd Match (N), Indian Premier League at Bengaluru, Apr 24 2019",RCB,PBKS,PBKS,BOWL FIRST,202/4,185/7,202/4,185/7,RCB,RCB won by 17 runs,2019-04-24T14:30Z,2019-04-26T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Virat Kohli,Ravichandran Ashwin,AB de Villiers,"Royal Challengers Bangalore 2, Kings XI Punjab 0",FALSE,20,202,4,27,20,185,7,28
2019,1178418,Kolkata Knight Riders v Rajasthan Royals,KKR v RR,"43rd Match (N), Indian Premier League at Kolkata, Apr 25 2019",KKR,RR,RR,BOWL FIRST,175/6,177/7,175/6,177/7,RR,Royals won by 3 wickets,2019-04-25T14:30Z,2019-04-27T23:59Z,57980,"Eden Gardens, Kolkata",Dinesh Karthik,Steven Smith,Varun Aaron,"Rajasthan Royals 2, Kolkata Knight Riders 0",FALSE,20,175,6,25,19.2,177,7,26
2019,1178419,Chennai Super Kings v Mumbai Indians,CSK v MI,"44th Match (N), Indian Premier League at Chennai, Apr 26 2019",CSK,MI,CSK,BOWL FIRST,155/4,109,109,155/4,MI,Mum Indians won by 46 runs,2019-04-26T14:30Z,2019-04-28T23:59Z,58008,"MA Chidambaram Stadium, Chepauk, Chennai",Suresh Raina,Rohit Sharma,Rohit Sharma,"Mumbai Indians 2, Chennai Super Kings 0",FALSE,17.4,109,10,10,20,155,4,19
2019,1178420,Rajasthan Royals v Sunrisers Hyderabad,RR v SRH,"45th Match (N), Indian Premier League at Jaipur, Apr 27 2019",RR,SRH,RR,BOWL FIRST,160/8,161/3,161/3,160/8,RR,Royals won by 7 wickets,2019-04-27T14:30Z,2019-04-29T23:59Z,58162,"Sawai Mansingh Stadium, Jaipur",Steven Smith,Kane Williamson,Jaydev Unadkat,"Rajasthan Royals 2, Sunrisers Hyderabad 0",FALSE,19.1,161,3,20,20,160,8,13
