season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,comm_cricinfo,comm_cricbuzz
2017,1082611,SRH v DC,SRH,DC,SRH,1,1,1,2,"Yadav to Warner, (no ball) 1 run",False,False,True,219889,David Warner,1,1,447587,Jayant Yadav,0.0,0,2,0,,,,,,,False,"on the pads to start, worked to midwicket. And Jayant oversteps. Absolute rubbish from Jayant. How can you do that? Already Sunrisers with the momentum. Gives Dhawan a chance too","  0.1    Jayant Yadav to Warner, no ball, 1 run, oversteps first ball! Loopy delivery on leg, nudged into the on-side for a single. Dhawan gets a free-hit  "
2017,1082611,SRH v DC,SRH,DC,SRH,1,1,1,4,"Yadav to Dhawan, FOUR runs",True,False,False,28235,Shikhar Dhawan,4,1,447587,Jayant Yadav,0.1,0,6,0,,,,,,,False,"smashed for four. Flat delivery on off, pulled over midwicket for four. Deserved punishment for Jayant. Not good at all","  0.1    Jayant Yadav to Dhawan, FOUR, swings hard and gets a boundary. Poor delivery as well from Yadav. A short ball, Dhawan slightly crouches and swishes it through mid-wicket. There is no protection there and Dhawan is away  "
2017,1082611,SRH v DC,SRH,DC,SRH,1,1,2,1,"Yadav to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,5,2,447587,Jayant Yadav,0.2,0,7,0,,,,,,,False,"and now a leg side-ish delivery, worked down to fine leg for a run","  0.2    Jayant Yadav to Dhawan, 1 run, quick single to short fine leg after a tap. Warner wanted it and Dhawan responded  "
2017,1082611,SRH v DC,SRH,DC,SRH,1,1,3,0,"Yadav to Warner, no run",False,False,False,219889,David Warner,1,2,447587,Jayant Yadav,0.3,0,7,0,,,,,,,False,"on the pads, Warner misses a flick. Struck on the pad.","  0.3    Jayant Yadav to Warner, no run, sliding on middle and leg, Warner misses the glance and gets hit on the leg. Going down leg, hence no appeal  "
2017,1082611,SRH v DC,SRH,DC,SRH,1,1,4,1,"Yadav to Warner, 1 run",False,False,False,219889,David Warner,2,3,447587,Jayant Yadav,0.4,0,8,0,,,,,,,False,"on the pads again, worked to square leg. Not a bad line, cramping Warner for room","  0.4    Jayant Yadav to Warner, 1 run, a step forward and Warner uses his wrists to works this straight ball to mid-wicket  "
2017,1082611,SRH v DC,SRH,DC,SRH,1,1,5,1,"Yadav to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,6,3,447587,Jayant Yadav,0.5,0,9,0,,,,,,,False,"a hint of turn. Slow outside off, some turn. Pushed to long-off","  0.5   Jayant Yadav to Dhawan, 1 run, turn for Yadav. But the length is on the shorter side, Dhawan treks back and punches it down to long-off "
2017,1082611,SRH v DC,SRH,DC,SRH,1,1,6,1,"Yadav to Warner, 1 run",False,False,False,219889,David Warner,3,4,447587,Jayant Yadav,1.0,0,10,0,,,,,,,False,"on the pads again, worked to midwicket. Tidy start for Sunrisers. Decent comeback from Jayant","  0.6    Jayant Yadav to Warner, 1 run, quicker and flatter to Warner, wristed to mid-wicket  "
2017,1082611,SRH v DC,SRH,DC,SRH,1,2,1,1,"Morris to Warner, 1 run",False,False,False,219889,David Warner,4,5,439952,Chris Morris,0.1,0,1,0,,,,,,,False,"ooh, close. Full outside off, some swing in. Pushed to mid-off for a run. Even Warner needed a dive. Jayant misses the stumps at the bowler's end. <b>Out if he hit</b>","  1.1    Chris Morris to Warner, 1 run, direct hit would have made things interesting. Pitched up delivery outside off, Warner pushes to mid-off and sets off. He puts in a dive. But had Jayant Yadav found the target, Warner would have been a goner  "
2017,1082611,SRH v DC,SRH,DC,SRH,1,2,2,0,"Morris to Dhawan, no run",False,False,False,28235,Shikhar Dhawan,6,4,439952,Chris Morris,0.2,0,1,0,,,,,,,False,"a wide yorker outside off, 145 kph. Dhawan can't reach his attempted cut. Bat hits ground.","  1.2    Chris Morris to Dhawan, no run, full, pacy and wide outside off, Dhawan fails to squeeze it away. There was a sound, that was bat hitting the ground  "
2017,1082611,SRH v DC,SRH,DC,SRH,1,2,3,1,"Morris to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,7,5,439952,Chris Morris,0.3,0,2,0,,,,,,,False,"sloppy from Daredevils this. Full and wide outside off, driven to Mathews to cover who simply fumbles to allow a run. That's five extra runs already for Dhawan","  1.3    Chris Morris to Dhawan, 1 run, sloppy! Dhawan drives a fuller length delivery straight to cover. Mathews makes a mess of it and allows the duo to rotate strike  "
