season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,comm_cricinfo,comm_cricbuzz
2017,1082618,MI v RPS,MI,RPS,RPS,1,1,1,1,"Johnson to Rahane, 1 run",False,False,False,277916,Ajinkya Rahane,1,1,6033,Mitchell Johnson,0.1,0,1,0,,,,,,,False,"good length, slight shape in at leg stump, he stands tall and taps it in front of square leg","  0.1    Johnson to Rahane, 1 run, starts with an 144kph short of length delivery that shapes into the right-hander. Rahane hops and nudges it to square leg to get off the mark  "
2017,1082618,MI v RPS,MI,RPS,RPS,1,1,2,0,"Johnson to Tripathi, no run",False,False,False,446763,Rahul Tripathi,0,1,6033,Mitchell Johnson,0.2,0,1,0,,,,,,,False,"good length, angled away from off stump, a big stride forward to defend it back down the pitch","  0.2    Johnson to Tripathi, no run, on the money, attacks the stumps this time from a goodish length, Tripathi comes forward and blocks it back to the bowler  "
2017,1082618,MI v RPS,MI,RPS,RPS,1,1,3,1,"Johnson to Tripathi, 1 run",False,False,False,446763,Rahul Tripathi,1,2,6033,Mitchell Johnson,0.3,0,2,0,,,,,,,False,"back of a length in the corridor, stays in the crease and opens the face to chop it to third man","  0.3    Johnson to Tripathi, 1 run, short ball just outside off, Tripathi jumps and runs it down towards third man. It came off the top portion of the bat  "
2017,1082618,MI v RPS,MI,RPS,RPS,1,1,4,0,"Johnson to Rahane, no run",False,False,False,277916,Ajinkya Rahane,1,2,6033,Mitchell Johnson,0.4,0,2,0,,,,,,,False,"141 kph, bouncer at middle stump, climbs sharply over his right shoulder and quickly past the leading edge on his attempted hook","  0.4   Johnson to Rahane, no run, Rahane is beaten by pace and bounce. Johnson bangs it short at 141kph, Rahane is hurried onto his pull. The ball flies over the blade and settles into the mitts of the keeper "
2017,1082618,MI v RPS,MI,RPS,RPS,1,1,5,1,"Johnson to Rahane, 1 wide",False,True,False,277916,Ajinkya Rahane,1,2,6033,Mitchell Johnson,0.4,0,3,0,,,,,,,False,"throws the dolly outside off stump, but it is too wide to induce a nick, even if he had him chasing","  0.5    Johnson to Rahane, wide, sucker delivery. Full and slanting across. A tad too wide outside off, Rahane chases it away from his body and misses. Called as a wide  "
2017,1082618,MI v RPS,MI,RPS,RPS,1,1,5,0,"Johnson to Rahane, no run",False,False,False,277916,Ajinkya Rahane,1,3,6033,Mitchell Johnson,0.5,0,3,0,,,,,,,False,"good length at off stump, gets behind the line and defends into the off side","  0.5    Johnson to Rahane, no run, short of length delivery, Rahane drops it with soft hands towards cover. Thought of a single, but wisely decided against it  "
2017,1082618,MI v RPS,MI,RPS,RPS,1,1,6,6,"Johnson to Rahane, SIX runs",True,False,False,277916,Ajinkya Rahane,7,4,6033,Mitchell Johnson,1.0,0,9,0,,,,,,,False,"shot. Good length, angled away from off stump. Half a stride before he slaps this over the covers on the up","  0.6    Johnson to Rahane, SIX, what a wonderful shot! Shows the nature of the track. An away-slanter from a good length, Rahane squats, reaches for it and slaps it over cover. Off the middle and the ball has enough wings to go all the way  "
2017,1082618,MI v RPS,MI,RPS,RPS,1,2,1,0,"McClenaghan to Tripathi, no run",False,False,False,446763,Rahul Tripathi,1,3,319439,Mitchell McClenaghan,0.1,0,0,0,,,,,,,False,"good length at middle stump, 144 kph, defended back to the bowler on the up","  1.1    McClenaghan to Tripathi, no run, 144kph jagging in delivery, Tripathi stays in his crease and bunts it back to the bowler  "
2017,1082618,MI v RPS,MI,RPS,RPS,1,2,2,0,"McClenaghan to Tripathi, no run",False,False,False,446763,Rahul Tripathi,1,4,319439,Mitchell McClenaghan,0.2,0,0,0,,,,,,,False,"good length, off cutter at middle stump, looks to push it into the leg side to steal a single, but the bowler is across quickly to stop him","  1.2    McClenaghan to Tripathi, no run, short of length delivery on middle and leg, defended into the turf  "
2017,1082618,MI v RPS,MI,RPS,RPS,1,2,3,4,"McClenaghan to Tripathi, FOUR runs",True,False,False,446763,Rahul Tripathi,5,5,319439,Mitchell McClenaghan,0.3,0,4,0,,,,,,,False,"short ball outside off stump, gives him the charge, lifts his back leg as he leaps, and slices it over point to find the boundary on the bounce","  1.3   McClenaghan to Tripathi, FOUR, almost a maximum. Dances down the track and elevates this shortish ball over point with a fierce cut. He played it uppishly and almost got the distance. One bounce and into the fence "
