season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,comm_cricinfo,comm_cricbuzz
2017,1082632,DC v GL,DC,GL,GL,1,1,1,4,"Nadeem to Smith, FOUR runs",True,False,False,53118,Dwayne Smith,4,1,31872,Shahbaz Nadeem,0.1,0,4,0,,,,,,,False,"turn straight away. Smith is surprised by the amount that is on offer as a ball pitches on a good length outside off and rips away like the wicketkeeper has a magnet, well past the middle of his bat. The outside edge wanders past first slip as well","  0.1    Nadeem to Dwayne Smith, FOUR, turn straightaway for Nadeem and he finds the outside edge. Smith was on the front foot to defend, the turn took the thick outside edge of the bat and it flew past the man at slip. The Lions are off the mark  "
2017,1082632,DC v GL,DC,GL,GL,1,1,2,4,"Nadeem to Smith, FOUR runs",True,False,False,53118,Dwayne Smith,8,2,31872,Shahbaz Nadeem,0.2,0,8,0,,,,,,,False,"cross-bat shots work on a turning pitch, and they work even better for a man of Smith's power. Sees the good length ball on middle and sweeps it away over short fine leg","  0.2   Nadeem to Dwayne Smith, FOUR, that's swept away over backward square leg and it's four more. Turns out to be a good start for Smith and Gujarat. This was a delivery down the leg-side, Smith sweeps, gets a bit of top edge but he swung hard to send it over the infield "
2017,1082632,DC v GL,DC,GL,GL,1,1,3,1,"Nadeem to Smith, 1 run",False,False,False,53118,Dwayne Smith,9,3,31872,Shahbaz Nadeem,0.3,0,9,0,,,,,,,False,"slider onto middle and leg, Smith flicks it through to deep midwicket","  0.3    Nadeem to Dwayne Smith, 1 run, shortish and sliding in, Smith flicks it to deep mid-wicket  "
2017,1082632,DC v GL,DC,GL,GL,1,1,4,0,"Nadeem to McCullum, no run",False,False,False,37737,Brendon McCullum,0,1,31872,Shahbaz Nadeem,0.4,0,9,0,,,,,,,False,"lovely bowling. He senses McCullum wanting to go, then sees him making room outside leg, and so slows it right down. The batsman swings hard, and early, and inside edges onto his pad. Brave bowling","  0.4    Nadeem to Brendon McCullum, no run, and Baz wants to thrash the ball immediately. No sighters needed. Backed away slightly, Nadeem dropped it short, didn't spin and came in with the angle from round the wicket, he got an inside edge onto pad  "
2017,1082632,DC v GL,DC,GL,GL,1,1,5,1,"Nadeem to McCullum, 1 run",False,False,False,37737,Brendon McCullum,1,2,31872,Shahbaz Nadeem,0.5,0,10,0,,,,,,,False,nudges it through midwicket,"  0.5    Nadeem to Brendon McCullum, 1 run, this time it's a flick off the front foot to mid-wicket  "
2017,1082632,DC v GL,DC,GL,GL,1,1,6,0,"Nadeem to Smith, no run",False,False,False,53118,Dwayne Smith,9,4,31872,Shahbaz Nadeem,1.0,0,10,0,,,,,,,False,plonks his front leg forward and defends a fuller delivery on middle,"  0.6    Nadeem to Dwayne Smith, no run, middle and leg line from Nadeem, Smith respects with a forward defence  "
2017,1082632,DC v GL,DC,GL,GL,1,2,1,0,"Rabada to McCullum, OUT",False,False,False,37737,Brendon McCullum,1,3,550215,Kagiso Rabada,0.1,0,0,1,37737.0,Brendon McCullum,Kagiso Rabada,1.0,3.0,BB McCullum c &dagger;Pant b Rabada 1 (5m 3b 0x4 0x6) SR: 33.33,False,"super ball, super catch. This is Test match cricket barging into T20s, not taking no for an answer. A good length ball seams away off the pitch and catches the batsman in no-man's land. McCullum pokes his bat at it, without moving his feet, following the direction of the seam movement. And for that trouble, he gets a thick outside edge, which Pant tracks down with a big dive to his right.","  1.1    Rabada to Brendon McCullum, out Caught by Pant!! A peach from Rabada. He recorded the worst bowling figures of the season the other night (4-0-59-0), but he's started with a lovely nut tonight. The hard-hitting Baz McCullum is walking back with just a solitary run to his name. Rabada angled this short of length delivery into the right-hander from wide of the crease, the ball moved away late, just enough movement to take the outside edge of McCullum's bat as he was looking to defend away from the body. Pant dives to his right and takes a good catch. Brendon McCullum c Pant b Rabada 1(3)  "
2017,1082632,DC v GL,DC,GL,GL,1,2,2,0,"Rabada to Raina, OUT",False,False,False,33335,Suresh Raina,0,1,550215,Kagiso Rabada,0.2,0,0,1,33335.0,Suresh Raina,Kagiso Rabada,0.0,1.0,DR Smith run out (Nadeem) 9 (10m 4b 2x4 0x6) SR: 225.00,False,"right up there on off stump, Raina nudges a 139 kph delivery to short midwicket and thinks about a single. He comes out looking for it and so his partner responds. But eventually everyone realises Shahbaz Nadeem has swooped in on the ball and he nails a direct throw as well. Now has Smith made his ground after being sent back? This is so close. Ridiculously close. The zing bails light up about 1 mm before Smith's bat crosses the line. And that is a pretty thick crease line. Should he have dived? This is going to be a big call from third umpire Nandan. And he says to Smith, 'yeeerrrrr outta heeeere'","  1.2   Rabada to Raina, out Dwayne Smith Run Out!! This is disaster for Gujarat Lions. Both the openers gone in successive balls. Who is to be blamed here? Raina took a couple of steps out of his crease after playing this ball gently to mid-wicket, Smith thought the skipper was keen on a run, but was shocked when Raina stopped suddenly. The West Indian tried to rush back but a bullet throw from Nadeem meant his bat was on the line when the stumps were disturbed. Dwayne Smith run out (Nadeem) 9(4) [4s-2] "
2017,1082632,DC v GL,DC,GL,GL,1,2,3,0,"Rabada to Raina, no run",False,False,False,33335,Suresh Raina,0,2,550215,Kagiso Rabada,0.3,0,0,1,,,,,,,False,"full on off stump, pushes to mid-on","  1.3    Rabada to Raina, no run, fullish and just outside off stump, Raina pushes it to mid-off  "
2017,1082632,DC v GL,DC,GL,GL,1,2,4,2,"Rabada to Raina, 2 runs",False,False,False,33335,Suresh Raina,2,3,550215,Kagiso Rabada,0.4,0,2,1,,,,,,,False,"taking so many risks so early in the innings, just to exploit the fielding restrictions. Raina is trapped by the dire state of his team, and he tries to take it out on a good length ball on off stump, Looks to loft it over extra cover, but the pace on bounce of Rabada means it goes off the splice of the bat. Samuels backtracks, dives, sticks out a hand, and puts in a grand effort. But it still eludes him","  1.4   Rabada to Raina, 2 runs, in the airrrrr and Raina almost holes out. What an over this is turning out to be. A better fielding effort could well have been curtains for Raina. Looked like the slower delivery from Rabada, Raina backed away and played a tame lofted drive, the man at cover ran back, stretched his arm up in the air but the ball just eluded him "
2017,1082632,DC v GL,DC,GL,GL,1,2,5,0,"Rabada to Raina, no run",False,False,False,33335,Suresh Raina,2,4,550215,Kagiso Rabada,0.5,0,2,1,,,,,,,False,bunts a full and wide delivery to mid-off,"  1.5    Rabada to Raina, no run, this is ugly from Raina. Stays leg-side of the ball, maybe he was expecting the bumper, Rabada fires a fast yorker around the base of off stump, somehow dug out by the batsman  "
2017,1082632,DC v GL,DC,GL,GL,1,2,6,1,"Rabada to Raina, 1 run",False,False,False,33335,Suresh Raina,3,5,550215,Kagiso Rabada,1.0,0,3,1,,,,,,,False,"<b>dropped by the slip fielder</b>. Shreyas Iyer juggles, once, twice, and the third time it plops out. Should really have taken it. All of that chaos is caused by a short ball from Rabada, rising up to Raina's right shoulder. He looks to hook, gloves it over the keeper, and it is the easiest catches anyone can hope for. Lobbing up, looping down. And Iyer fluffs it up","  1.6   Rabada to Raina, 1 run, it's dropped this time. Gee, this is a crazy over. Two wickets, one just escaped the fielder and then one was put down. This time Rabada does what most fast bowlers with pace do to Raina. Bowl that bouncer and have him jumping around in the crease. It was down the leg-side, Raina could back away or duck, tried to pull, the ball went off the back of the bat, a lob it was to first slip. Easiest of chances, but Shreyas Iyer spills it. Rabada is very disappointed "
2017,1082632,DC v GL,DC,GL,GL,1,3,1,0,"Cummins to Raina, no run",False,False,False,33335,Suresh Raina,3,6,489889,Pat Cummins,0.1,0,0,0,,,,,,,False,"good length ball on off stump, Raina tries to smoke it over midwicket, inside edges onto pad","  2.1    Pat Cummins to Raina, no run, Raina wants to break the shackles, tries to swing right across the line and gets an inside edge onto pad. This is looking very edgy out there for Gujarat and mind you, this is not even a pacy wicket. Look what one over of sensible, yet exceptional bowling can do  "
