season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,comm_cricinfo,comm_cricbuzz
2017,1082626,KXIP v DC,KXIP,DC,DC,1,1,1,0,"Sandeep Sharma to Samson, no run",False,False,False,425943,Sanju Samson,0,1,438362,Sandeep Sharma,0.1,0,0,0,,,,,,,False,"full and in the corridor, gets forward and pushes it off the middle of the bat into the covers","  0.1    Sandeep Sharma to Samson, no run, on a good length and just outside off, Samson leans forward and pushes it towards cover  "
2017,1082626,KXIP v DC,KXIP,DC,DC,1,1,2,0,"Sandeep Sharma to Samson, no run",False,False,False,425943,Sanju Samson,0,2,438362,Sandeep Sharma,0.2,0,0,0,,,,,,,False,"good length, outside off, tapped on the up to cover point","  0.2    Sandeep Sharma to Samson, no run, fraction fuller and wider of off, Samson leans into the drive but can't beat the fielder at cover-point  "
2017,1082626,KXIP v DC,KXIP,DC,DC,1,1,3,0,"Sandeep Sharma to Samson, no run",False,False,False,425943,Sanju Samson,0,3,438362,Sandeep Sharma,0.3,0,0,0,,,,,,,False,good ball. Nips back in from just outside off and catches the inside edge onto his thigh as he prods forward,"  0.3    Sandeep Sharma to Samson, no run, aborted appeal for LBW, but there was a big inside edge on that, Samson was half forward to one that angled back in, played slightly outside the line and gets a big edge onto the pads  "
2017,1082626,KXIP v DC,KXIP,DC,DC,1,1,4,1,"Sandeep Sharma to Samson, 1 run",False,False,False,425943,Sanju Samson,1,4,438362,Sandeep Sharma,0.4,0,1,0,,,,,,,False,"back of a length at off stump, stands tall and opens the face to run it down to third man","  0.4    Sandeep Sharma to Samson, 1 run, short of a good length and just outside off, Samson plays with an angled bat and dabs it down towards third man  "
2017,1082626,KXIP v DC,KXIP,DC,DC,1,1,5,0,"Sandeep Sharma to Billings, no run",False,False,False,297628,Sam Billings,0,1,438362,Sandeep Sharma,0.5,0,1,0,,,,,,,False,"good length at off stump, walks into the forward defence","  0.5    Sandeep Sharma to Billings, no run, on a good length and just outside off, Billings takes a step down the track and defends it back at the bowler  "
2017,1082626,KXIP v DC,KXIP,DC,DC,1,1,6,0,"Sandeep Sharma to Billings, OUT",False,False,False,297628,Sam Billings,0,2,438362,Sandeep Sharma,1.0,0,1,1,297628.0,Sam Billings,Sandeep Sharma,0.0,2.0,SW Billings c &dagger;Saha b Sandeep Sharma 0 (3m 2b 0x4 0x6) SR: 0.00,False,"gone! Sandeep rewarded for his consistency. This is back of a length in the corridor. He puts half a foot forward but is mostly static as he pushes away from the body to try and run it to third man. Gets a thin outside edge that is no trouble for Saha. No demonstrable movement there, just a good line and length. It's enough","  0.6    Sandeep Sharma to Billings, out Caught by Saha!! Edged and caught! The perfect start for KXIP, a nothing shot from Billings and he has to take the long walk back to the hut. Sandeep shortened his length outside off and got the ball to shape away slightly, drew Billings into playing at that. He was looking to run it down towards third man, gets a thick edge and it's an easy catch to the keeper. Billings' comeback is a short one, the Daredevils have been rocked early. Billings c Saha b Sandeep Sharma 0(2)  "
2017,1082626,KXIP v DC,KXIP,DC,DC,1,2,1,0,"Natarajan to Samson, no run",False,False,False,425943,Sanju Samson,1,5,802575,T Natarajan,0.1,0,0,0,,,,,,,False,"back of a length at off stump, defends off the back foot to mid-on","  1.1    T Natarajan to Samson, no run, short of a good length and on the stumps, Samson gets forward and defends it towards mid-on  "
2017,1082626,KXIP v DC,KXIP,DC,DC,1,2,2,0,"Natarajan to Samson, no run",False,False,False,425943,Sanju Samson,1,6,802575,T Natarajan,0.2,0,0,0,,,,,,,False,"back of a length at off stump, pushes into the off side on the up","  1.2    T Natarajan to Samson, no run, Natarajan shortens his length outside off, defended with an angled bat towards point  "
2017,1082626,KXIP v DC,KXIP,DC,DC,1,2,3,0,"Natarajan to Samson, no run",False,False,False,425943,Sanju Samson,1,7,802575,T Natarajan,0.3,0,0,0,,,,,,,False,"back of a length at off stump, drives on the up, straight to extra cover","  1.3    T Natarajan to Samson, no run, tad fuller and just outside off, Samson leans forward, plays with a straight bat and finds cover with the punchy drive  "
2017,1082626,KXIP v DC,KXIP,DC,DC,1,2,4,0,"Natarajan to Samson, no run",False,False,False,425943,Sanju Samson,1,8,802575,T Natarajan,0.4,0,0,0,,,,,,,False,"yorker, angled across off stump and going away. Tries to squeeze this down to third man, beaten","  1.4    T Natarajan to Samson, no run, very full and angling across the right-hander, almost the yorker length. Samson squeezed his bat under it and missed the attempted jab  "
