season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,comm_cricinfo,comm_cricbuzz
2017,1082642,DC v RPS,DC,RPS,DC,1,1,1,0,"Unadkat to Samson, no run",False,False,False,425943,Sanju Samson,0,1,390484,Jaydev Unadkat,0.1,0,0,0,,,,,,,False,"full and slanting away outside off, draws a loose drive from Samson and whistles past the outside edge","  0.1    Unadkat to Samson, no run, right on the money first up. Gets it to slant away from the right-hander. Samson flashes hard and gets beaten on the outside edge  "
2017,1082642,DC v RPS,DC,RPS,DC,1,1,2,1,"Unadkat to Samson, 1 run",False,False,False,425943,Sanju Samson,1,2,390484,Jaydev Unadkat,0.2,0,1,0,,,,,,,False,"good length and outside off, punchily driven to sweeper cover","  0.2    Unadkat to Samson, 1 run, touch on the shorter side. Samson allows the ball onto the bat and punches it to sweeper cover to get off the mark  "
2017,1082642,DC v RPS,DC,RPS,DC,1,1,3,1,"Unadkat to Nair, 1 run",False,False,False,398439,Karun Nair,1,1,390484,Jaydev Unadkat,0.3,0,2,0,,,,,,,False,"just short of a good length and angling away outside off, another punch, this time from Karun to Rahane at sweeper","  0.3    Unadkat to Nair, 1 run, too good a shot for just a single. Nair stands tall and punches it off the meat of the blade. There is protection in the deep, hence just a single for Nair to get off the mark  "
2017,1082642,DC v RPS,DC,RPS,DC,1,1,4,0,"Unadkat to Samson, no run",False,False,False,425943,Sanju Samson,1,3,390484,Jaydev Unadkat,0.4,0,2,0,,,,,,,False,"much fuller and on off stump, defended to cover","  0.4    Unadkat to Samson, no run, good length delivery angling away outside off, Samson blocks it to cover off the front foot  "
2017,1082642,DC v RPS,DC,RPS,DC,1,1,5,1,"Unadkat to Samson, 1 run",False,False,False,425943,Sanju Samson,2,4,390484,Jaydev Unadkat,0.5,0,3,0,,,,,,,False,"good length and swerves in on middle, hangs back and inside-edges it to midwicket. Possibly an offcutter","  0.5    Unadkat to Samson, 1 run, change of pace from Unadkat. The off-cutter on middle and leg. Samson squirts and inside edge towards square leg for a single  "
2017,1082642,DC v RPS,DC,RPS,DC,1,1,6,0,"Unadkat to Nair, OUT",False,False,False,398439,Karun Nair,1,2,390484,Jaydev Unadkat,1.0,0,3,0,398439.0,Karun Nair,Jaydev Unadkat,1.0,2.0,SV Samson run out (Stokes) 2 (4m 4b 0x4 0x6) SR: 50.00,False,"<b>It's that man: Ben Stokes, again</b>. He nails a direct hit and celebrates. Good length and angling away outside off, Nair opens the bat-face, and simply steers the ball towards backward point. Stokes moves swiftly to his left, collects the ball, and throws the stumps down at the striker's end. There wasn't a run there, and Daredevils paid the price, losing Samson. He wasn't in the frame. That was how bad it was","  0.6    Unadkat to Nair, out Samson Run Out!! Poor running. Absolutely poor. Nair steers it to the left of backward point. The ball goes at a good bounce for Stokes to pick it up and hit the stumps direct. Sanju Samson was nowhere in the frame and Ananthapadmanabhan has his finger up. Sanju Samson walks back disappointed and an end of a good first over. Samson run out (Stokes) 2(4)  "
2017,1082642,DC v RPS,DC,RPS,DC,1,2,1,2,"Thakur to Nair, 2 runs",False,False,False,398439,Karun Nair,3,3,475281,Shardul Thakur,0.1,0,2,0,,,,,,,False,"too straight in line, clipped away past the right of mid-on","  1.1    SN Thakur to Nair, 2 runs, good length delivery on the stumps, Nair tucks it wide of mid-wicket and gets back for a brace  "
2017,1082642,DC v RPS,DC,RPS,DC,1,2,2,1,"Thakur to Nair, 1 run",False,False,False,398439,Karun Nair,4,4,475281,Shardul Thakur,0.2,0,3,0,,,,,,,False,"short of a length and angled in on middle, pushed to cover on the back foot","  1.2    SN Thakur to Nair, 1 run, 138ks length delivery that attacks the pads of the batsman. Nair makes room and drops it in front of point for a quick single. An easy one this time  "
2017,1082642,DC v RPS,DC,RPS,DC,1,2,3,0,"Thakur to Iyer, no run",False,False,False,642519,Shreyas Iyer,0,1,475281,Shardul Thakur,0.3,0,3,0,,,,,,,False,"full and outside off, opens the face and steers it to backward point. Sanity prevails, no run","  1.3    SN Thakur to Shreyas Iyer, no run, hint of shape away for Thakur. Shreyas Iyer gets a soft outside edge as he defends it off the front foot. The ball rolls to the off-side  "
2017,1082642,DC v RPS,DC,RPS,DC,1,2,4,0,"Thakur to Iyer, no run",False,False,False,642519,Shreyas Iyer,0,2,475281,Shardul Thakur,0.4,0,3,0,,,,,,,False,"back of a length and angled in, defended on off stump","  1.4    SN Thakur to Shreyas Iyer, no run, stump-to-stump line from Thakur. Shreyas Iyer blocks it right under his eyes  "
2017,1082642,DC v RPS,DC,RPS,DC,1,2,5,3,"Thakur to Iyer, 3 runs",False,False,False,642519,Shreyas Iyer,3,3,475281,Shardul Thakur,0.5,0,6,0,,,,,,,False,"short of a length and angled in on off, Iyer sits back, uses the angle, and flicks it serenely through midwicket. Rahane makes a sliding save at the edge of the boundary, saving a run for Pune","  1.5    SN Thakur to Shreyas Iyer, 3 runs, excellent cricket all round. Shreyas Iyer whips it wide of deep mid-wicket. Rahane the man, sprints to his left, puts in the dive and pulls the back in. The ball wasn't in control though, and threatens to roll towards the rope. Rahane picks himself up and dives again to save a run for his team  "
2017,1082642,DC v RPS,DC,RPS,DC,1,2,6,0,"Thakur to Nair, no run",False,False,False,398439,Karun Nair,4,5,475281,Shardul Thakur,1.0,0,6,0,,,,,,,False,"hit straight to Ben Stokes at backward point. Iyer and Nair stay put. Back of a length and outside off, punched with an open face to point","  1.6    SN Thakur to Nair, no run, Nair opens the bat face and dabs it to point  "
