season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,comm_cricinfo,comm_cricbuzz
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,1,1,1,"Choudhary to Amla, 1 run",False,False,False,43906,Hashim Amla,1,1,527299,Aniket Choudhary,0.1,0,1,0,,,,,,,False,"back of a length at off stump, slight shape back in. Rides the bounce and drops it to point's left","  0.1    Aniket Choudhary to Amla, 1 run, a gentle tap-and-run single helps Amla open the attack straightaway. Bit of swing for Aniket Choudhary, but the length was short, Amla adjusted well to hop and defend towards point  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,1,2,0,"Choudhary to Guptill, no run",False,False,False,226492,Martin Guptill,0,1,527299,Aniket Choudhary,0.2,0,1,0,,,,,,,False,"back of a length, climbs up after pitching, nips in as well. Defended off the inside half, onto his boot","  0.2    Aniket Choudhary to Guptill, no run, good bounce on display. Short of a length and rising steeply, Guptill handles it off the back foot  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,1,3,1,"Choudhary to Guptill, 1 run",False,False,False,226492,Martin Guptill,1,2,527299,Aniket Choudhary,0.3,0,2,0,,,,,,,False,"good length, swinging into the pads, takes one hand off as he flicks and gets enough bat to get it into his thigh guard and the open square leg area","  0.3   Aniket Choudhary to Guptill, 1 run, no feet movement from Guptill and he is lucky to get an inside edge onto pad, short of length delivery swinging back in on the stumps, the ball rolls behind square off the edge "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,1,4,0,"Choudhary to Amla, no run",False,False,False,43906,Hashim Amla,1,2,527299,Aniket Choudhary,0.4,0,2,0,,,,,,,False,"good length at off stump, defended off the back foot to point","  0.4    Aniket Choudhary to Amla, no run, back of a length delivery just outside off stump, Amla defends towards point  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,1,5,0,"Choudhary to Amla, OUT",False,False,False,43906,Hashim Amla,1,3,527299,Aniket Choudhary,0.5,0,2,1,43906.0,Hashim Amla,Aniket Choudhary,1.0,3.0,HM Amla c &dagger;Jadhav b Choudhary 1 (3m 3b 0x4 0x6) SR: 33.33,False,"is he gone? <b>Yes he is!</b> That was the most sullen caught behind dismissal you will see. This is back of a length, outside off stump. Amla chases it with a cut and it carries through to Kedar, who doesn't appeal. No one appeals. Not till Amla appears to be walking off, at which point Aniket raises the question and the umpire, Shamshuddin, says okay","  0.5    Aniket Choudhary to Amla, out Caught by Kedar Jadhav!! Clear nick, no appeal from the bowler, even the keeper didn't hear the edge, but Amla walks. Well done sir! It's been short of length from Aniket all over, this time he bowls it slightly wide outside off stump than the previous ones, Amla throws his hands at it to cut it away for four but gets a faint edge. Not sure if the umpire heard that nick too. Would have been interesting if Amla had not walked. Just the start KXIP didn't want in a crunch game. Amla c Kedar Jadhav b Aniket Choudhary 1(3)  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,1,6,0,"Choudhary to Marsh, no run",False,False,False,6683,Shaun Marsh,0,1,527299,Aniket Choudhary,1.0,0,2,1,,,,,,,False,"back of a length in the corridor, grips the pitch and nips away sharply to beat the outside edge","  0.6   Aniket Choudhary to Shaun Marsh, no run, beaten, turns out to be a lovely over. Didn't try anything fancy, just bowled back of a length and got the ball to move, this one leaves Marsh very late and he tamely pokes at it "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,2,1,0,"Aravind to Guptill, no run",False,False,False,226492,Martin Guptill,1,3,290632,Sreenath Aravind,0.1,0,0,0,,,,,,,False,"good length at off stump, big stride forward as he defends to mid-off","  1.1    Aravind to Guptill, no run, short of length delivery on the off stump, Guptill defends  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,2,2,4,"Aravind to Guptill, FOUR runs",True,False,False,226492,Martin Guptill,5,4,290632,Sreenath Aravind,0.2,0,4,0,,,,,,,False,"enough, says Guptill. Walks at the bowler, follows this full ball outside off and lifts it over extra cover. Got it off the bottom of the bat but the bat swing takes it well over","  1.2   Aravind to Guptill, FOUR, this is one ground that he can make it big if he gets his eye in. The boundaries are short and even mishits can go all the way. Aravind bowled a fuller length and just outside off stump, Guptill lofted it over cover, didn't come from the middle of the bat, but good enough for a one-bounce four "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,2,3,0,"Aravind to Guptill, no run",False,False,False,226492,Martin Guptill,5,5,290632,Sreenath Aravind,0.3,0,4,0,,,,,,,False,"good length at off stump, defended square into the off side","  1.3    Aravind to Guptill, no run, defended into the off-side  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,2,4,1,"Aravind to Guptill, 1 run",False,False,False,226492,Martin Guptill,6,6,290632,Sreenath Aravind,0.4,0,5,0,,,,,,,False,"offcutter, back of a length at leg stump. Forces him to offer the full face and push it past Marsh. He was looking to flick that initially","  1.4    Aravind to Guptill, 1 run, quick single and Guptill is home. Pushed to mid-off and it turns out to be a well judged run  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,2,5,4,"Aravind to Marsh, FOUR runs",True,False,False,6683,Shaun Marsh,4,2,290632,Sreenath Aravind,0.5,0,9,0,,,,,,,False,"oh glorious. Good length, swinging away from him, and he goes after this on the up and nails the cover drive to get it past cover point","  1.5    Aravind to Shaun Marsh, FOUR, wow! Lovely piece of timing. Aravind bowls full in search of swing, it did swing away a touch, but Marsh was nicely forward to cream the cover drive from the middle of the bat  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,2,6,0,"Aravind to Marsh, no run",False,False,False,6683,Shaun Marsh,4,3,290632,Sreenath Aravind,1.0,0,9,0,,,,,,,False,"good length at off stump, slight shape away. Gets behind it and defends off the front foot","  1.6    Aravind to Shaun Marsh, no run, good length delivery from Aravind, Marsh defends  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,3,1,0,"Choudhary to Guptill, no run",False,False,False,226492,Martin Guptill,6,7,527299,Aniket Choudhary,1.1,0,2,1,,,,,,,False,"oh good ball. This is a dry, cracked wicket and his height is helping. Thuds into pitch at a length in the corridor, moves away to beat the outside edge","  2.1    Aniket Choudhary to Guptill, no run, just misses the outside edge. Did this hit a crack and move away? Fullish and just outside off stump, Guptill was pushing at it with hard hands, the angle and the movement away foxed the batsman  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,3,2,2,"Choudhary to Guptill, 2 runs",False,False,False,226492,Martin Guptill,8,8,527299,Aniket Choudhary,1.2,0,4,1,,,,,,,False,"back of a length outside off, opens his arms and looks to wallop this through the line. Gets it high on the bat and can only slice it in the end, high and wide of mid-off where AB runs and puts in a dive despite being well away from that","  2.2    Aniket Choudhary to Guptill, 2 runs, it's a mis-hit, AB dives but it evades him. Guptill lost his shape and it's not going to be easy to swing against the away-going ball. There was no one at sweeper, AB covered a lot of ground all the way from mid-off, but it was too far for him. Guptill sliced that length delivery and got away with it  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,3,3,1,"Choudhary to Guptill, 1 run",False,False,False,226492,Martin Guptill,9,9,527299,Aniket Choudhary,1.3,0,5,1,,,,,,,False,"good length at middle stump, dropped into the leg side off the back foot","  2.3    Aniket Choudhary to Guptill, 1 run, on the stumps, easy nudge to mid-on  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,3,4,0,"Choudhary to Marsh, no run",False,False,False,6683,Shaun Marsh,4,4,527299,Aniket Choudhary,1.4,0,5,1,,,,,,,False,"good length at off stump, defended on the up to mid-off","  2.4    Aniket Choudhary to Shaun Marsh, no run, fullish and just off stump, Marsh defends into the off-side  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,3,5,0,"Choudhary to Marsh, no run",False,False,False,6683,Shaun Marsh,4,5,527299,Aniket Choudhary,1.5,0,5,1,,,,,,,False,"good length at middle stump, pushed back to the bowler...who gets the crowd cheering generously as he takes aim at the striker's stumps","  2.5    Aniket Choudhary to Shaun Marsh, no run, nice and straight from Aniket Choudhary, defended straight back to the bowler  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,3,6,1,"Choudhary to Marsh, 1 run",False,False,False,6683,Shaun Marsh,5,6,527299,Aniket Choudhary,2.0,0,6,1,,,,,,,False,"good length, angled down the leg side, clips his front pad and rolls to short fine","  2.6    Aniket Choudhary to Shaun Marsh, 1 run, that's a freebie but Marsh has missed out. He failed to connect with the flick, should have been a leg bye, but the umpire reckons there was some bat involved  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,4,1,2,"Aravind to Marsh, 2 runs",False,False,False,6683,Shaun Marsh,7,7,290632,Sreenath Aravind,1.1,0,11,0,,,,,,,False,"full and angled in at off stump, pushes at it in front of his body, gets a thick inside edge to go wide of mid-on","  3.1    Aravind to Shaun Marsh, 2 runs, the bat turns in Marsh's hands, fullish and outside off stump, played through mid-wicket, good enough for two  "
2017,1082633,RCB v KXIP,RCB,KXIP,KXIP,1,4,2,1,"Aravind to Marsh, 1 run",False,False,False,6683,Shaun Marsh,8,8,290632,Sreenath Aravind,1.2,0,12,0,,,,,,,False,"offcutter keeps low from a good length, he flicks it to deep square from middle stump","  3.2    Aravind to Shaun Marsh, 1 run, hello there! This hardly bounced after pitching, kept very low, Marsh managed to flick it through square leg  "
