season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,comm_cricinfo,comm_cricbuzz
2017,1082595,RCB v DC,RCB,DC,RCB,1,1,1,1,"Khan to Gayle, 1 run",False,False,False,51880,Chris Gayle,1,1,30102,Zaheer Khan,0.1,0,1,0,,,,,,,False,"starts off with a gentle full-toss, which wobbles in the air, Gayle simply works it to the midwicket region","  0.1    Zaheer to Gayle, 1 run, gentle full-toss from Zaheer, Gayle shuffles across and clips it towards mid-wicket for a single  "
2017,1082595,RCB v DC,RCB,DC,RCB,1,1,2,4,"Khan to Watson, FOUR runs",True,False,False,8180,Shane Watson,4,1,30102,Zaheer Khan,0.2,0,5,0,,,,,,,False,"a tad overpitched on the pads, Watson duly flicks it away to the midwicket fence","  0.2    Zaheer to Watson, FOUR, cracking shot, nice way to get going, that should give Watson plenty of confidence, length delivery on his pads, he prods across and clips it in front of square on the on-side, beats the infield and rolls away to the fence  "
2017,1082595,RCB v DC,RCB,DC,RCB,1,1,3,0,"Khan to Watson, no run",False,False,False,8180,Shane Watson,4,2,30102,Zaheer Khan,0.3,0,5,0,,,,,,,False,"back of a length on off, Watson pats the ball to cover","  0.3    Zaheer to Watson, no run, on a good length and on the off-stump line, Watson gets half-forward and defends it towards the off-side  "
2017,1082595,RCB v DC,RCB,DC,RCB,1,1,4,4,"Khan to Watson, FOUR runs",True,False,False,8180,Shane Watson,8,3,30102,Zaheer Khan,0.4,0,9,0,,,,,,,False,"full and outside off, not a half-volley, Watson leans into the drive and sends the ball rolling past extra cover","  0.4    Zaheer to Watson, FOUR, Watson is at his best in the opening slot and he has started well for RCB. On a good length and well outside off, he leans forward, plays with an open face and drives it on the up, beats cover and rolls away to the fence  "
2017,1082595,RCB v DC,RCB,DC,RCB,1,1,5,0,"Khan to Watson, no run",False,False,False,8180,Shane Watson,8,4,30102,Zaheer Khan,0.5,0,9,0,,,,,,,False,"Zaheer drags his length back on off, chopped out to point","  0.5    Zaheer to Watson, no run, short of a good length and just outside off, chopped straight to the fielder at backward point  "
2017,1082595,RCB v DC,RCB,DC,RCB,1,1,6,1,"Khan to Watson, 1 run",False,False,False,8180,Shane Watson,9,5,30102,Zaheer Khan,1.0,0,10,0,,,,,,,False,"hip-high short ball, Watson, though, can't control a pull. He mis-hits the ball to long leg","  0.6    Zaheer to Watson, 1 run, banged in short and on the stumps, Watson swivels across and drags the pull behind square on the on-side, just a single. Good start for RCB, 10 runs came off Zaheer's first over  "
2017,1082595,RCB v DC,RCB,DC,RCB,1,2,1,4,"Morris to Watson, FOUR runs",True,False,False,8180,Shane Watson,13,6,439952,Chris Morris,0.1,0,4,0,,,,,,,False,"on a length, angled in on off stump, the swings away. Watson flashes at the ball and slices an outside edge to deep point, where Cummins runs around the ball, slides, fumbles, and gifts a boundary","  1.1    Chris Morris to Watson, FOUR, Cummins makes a mess of a simple stop and concedes a boundary. On a good length and holding its line outside off, Watson went for the big drive, gets a thick edge over backward point. Cummins did all the running, slid and stopped the ball, but it hit his legs and rolled onto the ropes  "
2017,1082595,RCB v DC,RCB,DC,RCB,1,2,2,0,"Morris to Watson, no run",False,False,False,8180,Shane Watson,13,7,439952,Chris Morris,0.2,0,4,0,,,,,,,False,"short and angled in on middle, blocked to leg","  1.2    Chris Morris to Watson, no run, short of a good length and on the stumps, defended towards the on-side  "
2017,1082595,RCB v DC,RCB,DC,RCB,1,2,3,1,"Morris to Watson, 1 leg bye",False,False,False,8180,Shane Watson,13,8,439952,Chris Morris,0.3,0,4,0,,,,,,,False,"hip-high short ball on the leg stump, Watson misses out on a scoring opportunity again, grazes the pad and sneaks away behind square","  1.3    Chris Morris to Watson, leg byes, 1 run, back of a length and on Watson's pads, he was looking to flick and missed, sneaks in a leg-bye as the ball rolled away behind square on the on-side  "
2017,1082595,RCB v DC,RCB,DC,RCB,1,2,4,4,"Morris to Gayle, FOUR runs",True,False,False,51880,Chris Gayle,5,2,439952,Chris Morris,0.4,0,8,0,,,,,,,False,"Gayle guides this one away to the boundary. No power, just finesse. Overpitched and outside off, Gayle waits for the ball, opens the face, and drives it between point and cover","  1.4    Chris Morris to Gayle, FOUR, creamed, low full-toss from Morris, Gayle waits on it, leans forward and punches it in front of square on the off-side, beats cover-point and rolls away to the fence  "
