season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,comm_cricinfo,comm_cricbuzz
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,1,1,1,"Kumar to Narine, 1 run",FALSE,FALSE,FALSE,230558,Sunil Narine,1,1,326016,Bhuvneshwar Kumar,0.1,0,1,0,,,,,,,FALSE,"full and straight to start, some inswing. Narine inside-halves a drive towards midwicket","  0.1    Bhuvneshwar to Narine, 1 run, inswinger, starts around off and snaps back in to take the inside half as Narine attempts a meek push wih a straight bat. They get off the mark as the ball sneaks into the leg-side  "
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,1,2,1,"Kumar to Gambhir, 1 run",FALSE,FALSE,FALSE,28763,Gautam Gambhir,1,1,326016,Bhuvneshwar Kumar,0.2,0,2,0,,,,,,,FALSE,"some swing. The other way. Outswing. Full delivery outside off, Gambhir deflects a dab to third man","  0.2    Bhuvneshwar to Gambhir, 1 run, oh 142ks! Good to see that Bhuvi, looks to have worked on pace in the last year or so. Gambhir rises on his toes, uses the width and bounce to steer a single down to third man  "
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,1,3,0,"Kumar to Narine, no run",FALSE,FALSE,FALSE,230558,Sunil Narine,1,2,326016,Bhuvneshwar Kumar,0.3,0,2,0,,,,,,,FALSE,"on a length outside off, Narine thinks of flirting but withdraws his bat late","  0.3    Bhuvneshwar to Narine, no run, in the teasing channel outside off, Narine looks to have a swing, was in two minds, in the end plays inside the line  "
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,1,4,0,"Kumar to Narine, no run",FALSE,FALSE,FALSE,230558,Sunil Narine,1,3,326016,Bhuvneshwar Kumar,0.4,0,2,0,,,,,,,FALSE,"nicely played. Good length delivery outside off, carved towards cover from the crease","  0.4    Bhuvneshwar to Narine, no run, punches solidly, right off the meat, can't get it past cover  "
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,1,5,1,"Kumar to Narine, 1 leg bye",FALSE,FALSE,FALSE,230558,Sunil Narine,1,4,326016,Bhuvneshwar Kumar,0.5,0,2,0,,,,,,,FALSE,gives himself room. Bhuvi follows him with a yorker. Off the pad towards square leg. Inswinging yorker sliding well down,"  0.5    Bhuvneshwar to Narine, leg byes, 1 run, yorker, tailed in, plenty of swing. Narine backs away, but can't lay bat on ball, the ball smashes his toe before rolling behind square  "
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,1,6,0,"Kumar to Gambhir, no run",FALSE,FALSE,FALSE,28763,Gautam Gambhir,1,2,326016,Bhuvneshwar Kumar,1,0,2,0,,,,,,,FALSE,"what a beauty. Good length delivery outside off, swerves away and beats Gambhir on the outside edge","  0.6    Bhuvneshwar to Gambhir, no run, top nut! Swung away sharply and leapt past Gambhir's attempted poke, he was looking to fend it down, but the ball, out of nowhere, surprised everyone. Gambhir looks bamboozled as Ojha takes it around his eyes. ""Exploded off the good length,"" reckons Binga on air  "
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,2,1,0,"Nehra to Narine, no run",FALSE,FALSE,FALSE,230558,Sunil Narine,1,5,31820,Ashish Nehra,0.1,0,0,0,,,,,,,FALSE,"full and very wide outside off, Narine can't reach it but it's inside the tramline. A hint of away swing","  1.1    Nehra to Narine, no run, short and wide, Narine leaves watchfully  "
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,2,2,4,"Nehra to Narine, FOUR runs",TRUE,FALSE,FALSE,230558,Sunil Narine,5,6,31820,Ashish Nehra,0.2,0,4,0,,,,,,,FALSE,"flat-batted over Nehra. Good length delivery outside off, Narine stays back and slaps the ball past the bowler for four.","  1.2    Nehra to Narine, FOUR, stands tall in his crease and rockets the flat-bat smack back over the bowler, wasn't in complete control, but it had enough power to go all the way  "
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,2,3,0,"Nehra to Narine, no run",FALSE,FALSE,FALSE,230558,Sunil Narine,5,7,31820,Ashish Nehra,0.3,0,4,0,,,,,,,FALSE,"a bit of a wild swing. At least, he isn't wasting deliveries. On a length outside off, Narine misses his lofted drive","  1.3    Nehra to Narine, no run, has a big swish after exposing his stumps, gets nothing  "
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,2,4,1,"Nehra to Narine, 1 run",FALSE,FALSE,FALSE,230558,Sunil Narine,6,8,31820,Ashish Nehra,0.4,0,5,0,,,,,,,FALSE,"good length outside off, a tad short. Slapped to mid-off for a run","  1.4    Nehra to Narine, 1 run, makes room outside off and drives flat-batted to the right of Warner at mid-off  "
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,2,5,0,"Nehra to Gambhir, no run",FALSE,FALSE,FALSE,28763,Gautam Gambhir,1,3,31820,Ashish Nehra,0.5,0,5,0,,,,,,,FALSE,"good length outside off, pushed to mid-off. Nice lengths, no room either","  1.5    Nehra to Gambhir, no run, punched crisply, may have played the shot a little early there, straight to Warner  "
2017,1082604,KKR v SRH,KKR,SRH,KKR,1,2,6,1,"Nehra to Gambhir, 1 run",FALSE,FALSE,FALSE,28763,Gautam Gambhir,2,4,31820,Ashish Nehra,1,0,6,0,,,,,,,FALSE,"another hoick. Fullish delivery on middle, worked to wide mid-on for a run","  1.6    Nehra to Gambhir, 1 run, angles in from a goodish length, Gambhir goes hard on the closed-face drive, wide of mid-on for a single  "
