0
"  5.1    Kuldeep Yadav to Parthiv Patel, no run, wrong 'un to begin his spell. Parthiv had no clue about it, he was shaping to play the cut thinking the ball would spin away, cramped for room and under-edged it near his feet, luckily the ball does not roll back  "
"  5.2    Kuldeep Yadav to Parthiv Patel, wide, fired down leg and Parthiv can't meet with the pull  "
"  5.2    Kuldeep Yadav to Parthiv Patel, 1 run, once more the googly cramps Parthiv for room, bunted in front of cover and sharp run taken  "
"  5.3    Kuldeep Yadav to Buttler, no run, tossed up on off, Buttler prefers to hang back and defend  "
"  5.4    Kuldeep Yadav to Buttler, 1 run, charges down and drags the heave along the ground to deep mid-wicket  "
"  5.5    Kuldeep Yadav to Parthiv Patel, 1 run, short and turning away, Parthiv pulls wide of mid-on. He should have played the cut there  "
"  5.6    Kuldeep Yadav to Buttler, 1 run, Buttler is happy to tap and run and not take any risk against Kuldeep. Parthiv responds to his call of a quick single and the duo ease through it  "
"  6.1    Narine to Buttler, 2 runs, the new opening combo for MI has registered a 50-run stand in only their second game together. Buttler works it away with the spin wide of long-on and the second was on  "
"  6.2    Narine to Buttler, no run, did that keep a touch low? Buttler certainly thought so. He crouched low and blunted it out to the off-side  "
"  6.3    Narine to Buttler, no run, knuckle ball and Buttler knocks it to cover  "
"  6.4    Narine to Buttler, SIX, Buttler surely picked that from Narine. It was the off-spinner and he played it with the turn, plants his foot across and whips it over the cow corner fence for a maximum. This was more timing than power from the Englishman  "
"  6.5    Narine to Buttler, 1 run, flatter and around off, punched down to long-off  "
"  6.6    Narine to Parthiv Patel, no run, quicker and darted across the left-hander, Parthiv stays low and has a swipe at that, beaten on the under edge. He is struggling with his timing today  "
"  7.1    Kuldeep Yadav to Buttler, 1 run, touch short and just outside off, slapped to long-off  "
"  7.2    Kuldeep Yadav to Parthiv Patel, SIX, finally Parthiv connects with one and sends it into the crowd. Floated up just outside off, Parthiv sinks to one knee and slog sweeps it over deep mid-wicket. GG certainly didn't like it  "
"  7.3    Kuldeep Yadav to Parthiv Patel, out Lbw!! Kuldeep can't be kept quiet for too long these days. He provides the first breakthrough for KKR and ends Parthiv's hit-and-miss innings. It was the wrong 'un and Parthiv shuffled across to sweep, missed and is rapped on the pads. The question was whether the impact was in-line, umpire Nandan thought so and raised his finger. Parthiv Patel lbw b Kuldeep Yadav 30(27) [4s-3 6s-1]  "
"  7.4    Kuldeep Yadav to Nitish Rana, FOUR, a freebie from Kuldeep to welcome Rana. Googly which is short and down leg, Rana went for the big pull and under edge it fine. The man in the deep was square and had no chance  "
"  7.5    Kuldeep Yadav to Nitish Rana, 1 run, flighted on off and middle, Rana sweeps it to deep backward square leg  "
"  7.6    Kuldeep Yadav to Buttler, 1 run, tossed up on off, Buttler prods forward to defend, the ball catches takes the inside edge and rolls to the on-side  "
"  8.1    Rajpoot to Buttler, no run, angled in on off and middle, turned gently to mid-wicket  "
"  8.2    Rajpoot to Buttler, no run, back of a length on off, Buttler moves across and misses the tickle, the ball brushes the thigh pad on the way to Uthappa, who tumbles to his left to stop the ball  "
"  8.3    Rajpoot to Buttler, out Lbw!! Two wickets in two overs. The bowling change has worked for KKR and GG. The UP lad gets rid of the dangerous Buttler, who makes a start and gets out, again. A full toss that tailed back in, Buttler was beaten for pace as he missed the flick. The ball struck him in front of leg-stump. Not sure if it would have gone on to hit the sticks. But the finger was raised and he walks back. Buttler lbw b Rajpoot 28(22) [4s-1 6s-2]  "
"  8.4    Rajpoot to Rohit, no run, greets the MI skipper with a yorker length delivery on off-stump. Squeezed out to mid-on  "
"  8.5    Rajpoot to Rohit, 1 run, short of length around off, Rohit stands tall and punches to sweeper cover  "
"  8.6    Rajpoot to Nitish Rana, no run, angled away and bit of movement as well, Rana with laden feet has a poke at that only to be beaten on the outside edge. Excellent start from Rajpoot, just a single and the wicket of Buttler  "
"  9.1    Narine to Rohit, no run, knuckle ball which is short and outside off, Rohit toe-ends the cut to Yusuf, who makes a half stop and doesn't know where the ball went  "
"  9.2    Narine to Rohit, no run, again Narine is tad short in his length, Rohit waits on the cut and finds Kuldeep at backward point, another fumble from the KKR fielder, but no harm done as the ball was close to Kuldeep  "
"  9.3    Narine to Rohit, 1 run, flatter and just outside off, punched square on the off-side  "
"  9.4    Narine to Nitish Rana, 1 run, drifts onto the pads, clipped through mid-wicket, for a single  "
"  9.5    Narine to Rohit, out Lbw!! Rohit is not walking. He's not pleased with the decision. Has some choice words to say to umpire Nandan. ""That's an absolute shocker,"" says KP on air and he's right. Massive inside edge onto the pad. Two poor decisions in two overs might have just cost MI the game. The off-break which turns back in and cramps Rohit for room, he hurriedly brings his bat down and smashes it into his pads. The umpire didn't spot it and gave it out after a thought. Rohit was fuming after the decision. Even showed his bat to the umpire gesturing he hit it. But you can't overturn an onfield decision unless you have the DRS and that is not available in the IPL. This wicket has to be the game changing moment. Rohit lbw b Narine 2(6)  "
"  9.6    Narine to Krunal Pandya, no run, quicket and on the stumps, defended into the off-side  "
"  10.1    Rajpoot to Nitish Rana, no run, Rajpoot's getting a little shape here. Tails it away from off on a full length, Rana defends to cover  "
"  10.2    Rajpoot to Nitish Rana, no run, back of a length at the stumps, blocked  "
"  10.3    Rajpoot to Nitish Rana, 1 run, wants to loft it down the ground but gets it right off the toe-end and spoons it in front of long-on  "
"  10.4    Rajpoot to Krunal Pandya, no run, the short of length delivery rushes Krunal as he swivels outside the line of it looking to help it on its away. Big appeal from Rajpoot who thinks there was a bit of glove but there was nothing there  "
"  10.5    Rajpoot to Krunal Pandya, FOUR, this time Krunal is in position much quicker, the line is different too - more around off and middle - and he's able to muscle the pull away through mid-wicket  "
"  10.6    Rajpoot to Krunal Pandya, FOUR, consecutive fours to finish the over. MI desperately need some momentum here. I think Rajpoot is getting a bit carried away. Bowls it full on the pads and Krunal whips him over mid-wicket  "
"  11.1    Kuldeep Yadav to Nitish Rana, no run, quickly goes down for the reverse-sweep, hits it well but hits it straight to short third man  "
"  11.2    Kuldeep Yadav to Nitish Rana, 1 run, nice bowling. Tosses the chinaman up wide of off and Rana has to reach out for the drive. He mistimes it to long-off  "
"  11.3    Kuldeep Yadav to Krunal Pandya, 3 runs, a nice little dink from Krunal for three. He waited for the ball to come to him, played it very late and dabbed it fine of short third man. The fielder gives chase and flicks it back in  "
"  11.4    Kuldeep Yadav to Nitish Rana, no run, it lands right in the blockhole outside off and Rana jams it into the pitch  "
"  11.5    Kuldeep Yadav to Nitish Rana, FOUR, a little bit of air from Kuldeep, Rana quickly bends his knees and swipes it to the wide long-on boundary. The length was a bit too full from Kuldeep there  "
"  11.6    Kuldeep Yadav to Nitish Rana, SIX, oh what a shot! 23 off the last two overs now. A good little burst from these two. Kuldeep still flights the ball up, the line is outside off and Rana goes through the line to cream it beautifully over extra-cover. What timing on that. Way into the stands  "
"  12.1    Rajpoot to Krunal Pandya, out Caught by Uthappa!! Rajpoot has strangled him down leg. What a lucky breakthrough to end a fledgling partnership. Back of a length on leg-stump, Krunal tries to help it along into the fine leg boundary but the deflection is only a small one. A faint little tickle off the inside edge straight to the keeper. Krunal Pandya c Uthappa b Rajpoot 11(6) [4s-2]  "
"  12.2    Rajpoot to Pollard, no run, slanting in with the arm to rap Pollard on the pad. Huge appeal. But Pollard had come a long way down the pitch. The ball also had a big angle, and would have easily missed leg  "
"  12.3   Rajpoot to Pollard, 2 runs, tucks this away behind square, he's placed it in the gap and those huge strides of his take him comfortably back for the second "
"  12.4    Rajpoot to Pollard, SIX, all the way. If you're going short to Pollard, it better be nice and high. This one sits up around his chest and he dismisses it from his presence over the mid-wicket boundary  "
"  12.5    Rajpoot to Pollard, no run, back of a length outside off, Pollard steers it to backward point  "
"  12.6    Rajpoot to Pollard, no run, crunching yorker from Rajpoot. A real fizzer this. It zips through the air outside off and beats Pollard even before he jams down on it  "
"  13.1    Kuldeep Yadav to Nitish Rana, 1 run, tossed up outside off, Rana stoops across and sweeps it down to long leg  "
"  13.2    Kuldeep Yadav to Pollard, no run, flat on the stumps, Pollard bunts it back down the pitch  "
"  13.3    Kuldeep Yadav to Pollard, no run, the googly this time, sliding on from outside leg, Pollard doesn't seem to be picking it off the hand. As a result, he can't really be aggressive. So he waits on it and defends  "
"  13.4    Kuldeep Yadav to Pollard, no run, uh oh! A bad mix-up there with Pollard being sent back from the middle of the pitch. But he makes it home. The throw isn't a great one from Pathan either. Rana called him initially but then backtracked as Pollard steered it to point. These are nervy times  "
"  13.5    Kuldeep Yadav to Pollard, 2 runs, now a misfield in the deep. It's been knocked straight to Suryakumar at long-on who just takes his eyes off it and fumbles. Extra run  "
"  13.6    Kuldeep Yadav to Pollard, no run, flat and turning back in from a length on middle, Pollard is stuck in the crease as he defends  "
"  14.1    Woakes to Nitish Rana, 1 run, takes the pace off the length delivery on leg-stump, Rana works it through mid-wicket  "
"  14.2    Woakes to Pollard, FOUR, Woakes bowls short first up to surprise him, but Pollard is quickly into position. He's able to swivel outside the line of the ball which is on leg-stump and helps the pull to the fine leg boundary. It's rocketed through  "
"  14.3    Woakes to Pollard, 1 run, length ball at the stumps, Pollard bunts it down the ground to long-on  "
"  14.4    Woakes to Nitish Rana, no run, that's gone a long way off the thigh pad. Skiddy back of a length delivery on leg, Rana is beaten by the skid on the ball and is late on the slog. The ball pops up straight to short fine leg. No appeal from KKR  "
"  14.5    Woakes to Nitish Rana, 1 run, doesn't get hold of it. The ball was right in the slot to be clobbered but Rana miscues it down to long-on  "
"  14.6    Woakes to Pollard, no run, big swing and a miss. Clever line from Woakes to keep it well outside off. Even someone with Pollard's wing-span fails to reach out. It's well within the wide guideline too  "
"  15.1    Narine to Nitish Rana, 1 run, darts the off-spinner on leg-stump, Rana works it through mid-wicket  "
